t_YB_isoTPS sz_YB_isoTPS_D_2 sz_YB_isoTPS_D_3 sz_YB_isoTPS_D_4 sz_YB_isoTPS_D_5 sz_YB_isoTPS_D_6
0.0 -1.0 -1.0 -1.0 -1.0 -1.0
0.02 -0.9980428506107201 -0.9968286445137531 -0.9968381668424667 -0.9968548201428673 -0.9968191499059516
0.04 -0.9920713470075558 -0.9873821181265695 -0.9873556154052641 -0.9874009136839602 -0.9873250192946984
0.06 -0.9794758563893029 -0.9718094004816722 -0.9716811202854603 -0.9717631859812108 -0.9716493397709222
0.08 -0.9620335480421552 -0.9506315564158024 -0.9500417654150337 -0.9501219662492234 -0.9499778457092503
0.1 -0.9389171758708608 -0.9238592367607871 -0.9225676007688646 -0.922632126388208 -0.9225205651694905
0.12 -0.9103612522849361 -0.8919770165042274 -0.889497317621325 -0.8896012963513599 -0.8894666118480014
0.14 -0.8795002394612166 -0.8554115342673667 -0.8511031223539883 -0.8512466762650789 -0.8511377657155967
0.16 -0.8437730675451377 -0.8136151696865997 -0.807731407383414 -0.8075913508265493 -0.807767366113748
0.18 -0.8040401937798298 -0.7668783588186684 -0.7600976323693425 -0.7594725839618715 -0.7597214598905689
0.2 -0.7605960370471532 -0.7155724845067148 -0.7083798020499862 -0.7073102317757003 -0.7074630150285989
0.22 -0.7117117349985884 -0.6613455481491938 -0.652165016624474 -0.6524741753074531 -0.6515840292114318
0.24 -0.6599978081858472 -0.6038029306023396 -0.5937138034998631 -0.5944619321943676 -0.592157672730943
0.26 -0.6018444469046217 -0.5428291875591066 -0.5316077550185588 -0.5328558045254647 -0.5294863256398309
0.28 -0.5387229264347058 -0.4800424728060035 -0.46697604978937707 -0.46843867842914977 -0.46438144553258776
0.3 -0.4729878314021656 -0.41642234903574904 -0.40080978781787885 -0.4030670303735548 -0.3979191951744837
0.32 -0.40502959874165056 -0.3525590656110979 -0.333182234363939 -0.3357414367380926 -0.3304546620965802
0.34 -0.33538645874504686 -0.28750097574507905 -0.2654047052811017 -0.26721323262009705 -0.2621084331216508
0.36 -0.2663893962314358 -0.22191531124035707 -0.19618728903403018 -0.19831691851962455 -0.1930474762260715
0.38 -0.19510766660030884 -0.15468669459684084 -0.126132544404222 -0.1280882109987542 -0.1233983166707738
0.4 -0.12485924391679304 -0.08905169812537048 -0.05587079064877711 -0.058024716469511725 -0.05360371204192207
0.42 -0.05395376688632814 -0.021598828434738704 0.013697102635413298 0.012062381752978295 0.015988351265906142
0.44 0.016614246578716366 0.045295722735507464 0.0821329579980983 0.08085282760570547 0.08455142625113116
0.46 0.08782921915789443 0.11302695833111179 0.1493888290486646 0.1486804667253528 0.1523837078509763
0.48 0.15949502731904022 0.1777065148149879 0.2155400724879427 0.21464088563353304 0.21804951063711267
0.5 0.22840397712487942 0.24526561035118566 0.28008129653346775 0.2785108795160866 0.28216751109924354
0.52 0.2950201237373875 0.31013743193622106 0.3421819238504606 0.33937083929971235 0.34295828021468416
0.54 0.3597319086507218 0.37406298723616505 0.4004445467238334 0.39741685953215666 0.39987575238986633
0.56 0.4250489002320742 0.43192617515134724 0.4565784231082922 0.4520209086516381 0.4536043420628805
0.58 0.4861315305341524 0.4851030692613172 0.5080637874071833 0.5024309293458891 0.5036623677874869
0.6 0.5443419035068141 0.533871334099248 0.5554479708690586 0.5496468778685686 0.5500128603663155
0.62 0.5990192229541711 0.5778724107832036 0.599923989320626 0.5934051340520817 0.5941244865773775
0.64 0.6516759542893834 0.6172323985767844 0.6406766871617294 0.6346372252395499 0.6357492709178385
0.66 0.7004979323239521 0.6572093295359626 0.6793002076095002 0.6732444742283294 0.6749202285252177
0.68 0.7437365811382852 0.6948019346040392 0.714237421240872 0.7091596133179304 0.7110995746835823
0.7000000000000001 0.7816034448414527 0.7295648764649352 0.746203851380601 0.7423126718368336 0.7438256900429916
0.72 0.8145691685606965 0.7621572064436948 0.7751819089525434 0.7724147574165358 0.7733142931249255
0.74 0.8426704895766165 0.7931276370345309 0.8015315221852805 0.7997338976554045 0.7993016786595284
0.76 0.8672856765577492 0.8204386525494953 0.8256704541007492 0.8235830363883657 0.82169958607264
0.78 0.8856946074754437 0.8457844371897834 0.846694730019722 0.8441735331637965 0.8414900010403613
0.8 0.9006641105869951 0.8695860518729398 0.8652190637629961 0.8621298738220633 0.8587086244101729
0.8200000000000001 0.9126613368177867 0.8889283002348884 0.8810182864261996 0.8772177748323626 0.873457646424239
0.84 0.9219001644249695 0.904757410283574 0.894894092823363 0.8901197212048726 0.8866173949434133
0.86 0.9282626493182599 0.9174631075113413 0.9067149941223133 0.9013824734388045 0.8982098764321597
0.88 0.9310244813892838 0.9285147601760753 0.9162794299249013 0.9107044135407643 0.9085514675420475
0.9 0.9305511969780218 0.9375228704927374 0.9244784065707868 0.9188305967442711 0.9176987817110631
0.92 0.9276254043256084 0.9446713020489641 0.9308690197018882 0.9257796748378718 0.9251022335006013
0.9400000000000001 0.9225704966842209 0.9499017522988816 0.9354130086671804 0.9309275634406232 0.9306422897483937
0.96 0.9159281855498553 0.9532326595069274 0.9383932365690473 0.9345049519970834 0.9346626807834151
0.98 0.9081624399103838 0.9559440334341625 0.9400416837491227 0.9372796638978367 0.9374721894675023
