dtau delta_E_D_max_2 delta_E_D_max_4 delta_E_D_max_6
0.5 0.007114645778449075 0.004024756034967119 0.004021356598570793
0.33812166890312056 0.004809740144492033 0.001375653903237834 0.00135829415018821
0.22865252596366312 0.0035903083122647613 0.0004042108118053106 0.0003876469040795805
0.15462474735549586 0.00315758415960637 0.00010976635672038899 9.762015971080375e-05
0.10456395525912729 0.0030442206672740293 3.4834016000336654e-05 2.329686962438033e-05
0.07071067811865475 0.0030745531723457876 2.1520472788000875e-05 6.3269610344876196e-06
0.04781762498950186 0.003296705147337056 2.0187293361681076e-05 3.0750197466293608e-06
0.03233635032886786 0.003890537607461599 2.3120292097618448e-05 3.373921087592976e-06
0.021867241478865564 0.004613348174343205 3.2838816626332176e-05 4.418792683399973e-06
0.014787576366283134 0.005159462105657879 3.922844186381063e-05 6.821352353252661e-06
0.01 0.005482654901130837 4.887431528623244e-05 9.021973380437539e-06
