N_iters walltime_cg f_trunc_cg walltime_approx_cg f_trunc_approx_cg walltime_trm f_trunc_trm walltime_approx_trm f_trunc_approx_trm
0 0.0 1.8520595138634006e-06 0.0 1.8520595138634006e-06 0.0 1.8520595138634006e-06 0.0 1.8520595138634006e-06
5 0.3157829130803431 1.8096436790103376e-06 0.06368426057127687 1.8068818555056238e-06 1.4122610670941453 1.8319891072348867e-06 0.17223076744155807 1.6586294460701347e-06
10 0.6315658261606862 1.78017665490784e-06 0.12736852114255373 1.735097145339889e-06 2.8245221341882907 1.8036571073522612e-06 0.34446153488311615 1.5584131022832051e-06
15 0.9473487392410295 1.7732805361975998e-06 0.1910527817138306 1.6619235532152284e-06 4.236783201282436 1.7018907242093884e-06 0.5166923023246742 1.4637525266916403e-06
20 1.2631316523213725 1.7664196849138414e-06 0.25473704228510746 1.62482678545793e-06 5.649044268376581 1.6193944203509262e-06 0.6889230697662323 1.4036117828421843e-06
25 1.5789145654017158 1.7608605832701178e-06 0.31842130285638437 1.578661447905601e-06 7.061305335470728 1.539023303247544e-06 0.8611538372077904 1.3342668876062943e-06
30 1.894697478482059 1.7533208548720059e-06 0.3821055634276612 1.5599835559182765e-06 8.473566402564872 1.4738353366177725e-06 1.0333846046493484 1.292863635460921e-06
35 2.210480391562402 1.7485371938088345e-06 0.4457898239989381 1.5533778216134835e-06 9.885827469659018 1.4460719519936836e-06 1.2056153720909064 1.2852783566017196e-06
40 2.526263304642745 1.7419947529360724e-06 0.5094740845702149 1.546644127250947e-06 11.298088536753163 1.421167154928985e-06 1.3778461395324646 1.278277418378295e-06
45 2.8420462177230883 1.736295840229868e-06 0.5731583451414919 1.5358858673492576e-06 12.710349603847309 1.3806046322610323e-06 1.5500769069740226 1.2705990956723853e-06
50 3.1578291308034316 1.7290461254461674e-06 0.6368426057127687 1.5285718625198799e-06 14.122610670941455 1.3602963413768533e-06 1.7223076744155807 1.2634942493323106e-06
55 3.4736120438837745 1.723119555800336e-06 0.7005268662840456 1.5214894327146865e-06 15.5348717380356 1.3370680089582014e-06 1.8945384418571387 1.2549495593960721e-06
60 3.789394956964118 1.7121956269270326e-06 0.7642111268553224 1.5145758208668425e-06 16.947132805129744 1.324301114903129e-06 2.066769209298697 1.2447892465821756e-06
65 4.105177870044461 1.703688934625846e-06 0.8278953874265993 1.511516183076937e-06 18.35939387222389 1.3170348991543702e-06 2.238999976740255 1.2435287834856903e-06
70 4.420960783124804 1.690312207089463e-06 0.8915796479978761 1.485292259714459e-06 19.771654939318037 1.3103093639456477e-06 2.411230744181813 1.2432994584231221e-06
75 4.7367436962051475 1.681549411584137e-06 0.9552639085691531 1.4806885182200712e-06 21.183916006412183 1.3029733300568131e-06 2.583461511623371 1.2413270818425233e-06
80 5.05252660928549 1.6767712763381588e-06 1.0189481691404298 1.4806885182200712e-06 22.596177073506325 1.2894389633932356e-06 2.755692279064929 1.239685971305189e-06
85 5.368309522365833 1.6718435615068969e-06 1.0826324297117067 1.4806885182200712e-06 24.00843814060047 1.2856398726312045e-06 2.927923046506487 1.2387898004776984e-06
90 5.684092435446177 1.6676245200784597e-06 1.1463166902829838 1.4806885182200712e-06 25.420699207694618 1.2827537742605828e-06 3.100153813948045 1.2382723670348907e-06
