N_iter t trunc_error
0 0.007368548163052263 0.0016393733671996211
1 0.014737096326104525 0.0016175058553565267
2 0.02210564448915679 0.001589491505678108
3 0.02947419265220905 0.0015654399983423752
4 0.036842740815261316 0.0015490509967110199
5 0.04421128897831358 0.001537431911618077
6 0.05157983714136584 0.0015321752389656032
7 0.0589483853044181 0.0014825439013311276
8 0.06631693346747036 0.001394138526133861
9 0.07368548163052263 0.001377482231048831
10 0.08105402979357489 0.001372992313131264
11 0.08842257795662715 0.0013700454733003575
12 0.09579112611967941 0.0013679628807764259
13 0.10315967428273168 0.0013664682613430286
14 0.11052822244578393 0.0013653798638443542
15 0.1178967706088362 0.0013645686143619357
16 0.12526531877188846 0.0013639448134887735
17 0.13263386693494073 0.0013634494530609836
18 0.140002415097993 0.001363045744979028
19 0.14737096326104526 0.0013627113808618444
20 0.1547395114240975 0.0013624325342499546
21 0.16210805958714977 0.0013621998672890634
22 0.16947660775020204 0.0013620060991875434
23 0.1768451559132543 0.0013618438204325667
24 0.18421370407630658 0.0013616921912475537
25 0.19158225223935882 0.0013615185950506775
26 0.1989508004024111 0.0013613661475877972
27 0.20631934856546336 0.0013612416550633723
28 0.21368789672851562 0.001361141215869844
29 0.22105644489156787 0.0013610606454239223
30 0.22842499305462013 0.001360996268656449
31 0.2357935412176724 0.0013609449898285136
32 0.24316208938072467 0.0013609042476923877
33 0.2505306375437769 0.0013608719462748524
34 0.2578991857068292 0.0013608463834922314
35 0.26526773386988145 0.0013608261853595355
36 0.2726362820329337 0.0013608102478898662
37 0.280004830195986 0.001360797687502311
38 0.28737337835903826 0.001360787799174172
39 0.2947419265220905 0.0013607800218927502
40 0.3021104746851428 0.0013607739102825948
41 0.309479022848195 0.001360769111373829
42 0.3168475710112473 0.0013607653459843927
43 0.32421611917429954 0.0013607623935100266
44 0.3315846673373518 0.0013607600799487797
45 0.3389532155004041 0.0013607582681571851
46 0.34632176366345635 0.0013607568501379935
47 0.3536903118265086 0.0013607557409545223
48 0.3610588599895609 0.0013607548738406494
49 0.36842740815261316 0.0013607541963610585
50 0.37579595631566537 0.0013607536673502152
51 0.38316450447871764 0.0013607532545175857
52 0.3905330526417699 0.0013607529325498635
53 0.3979016008048222 0.0013607526816097012
54 0.40527014896787444 0.0013607524861388653
55 0.4126386971309267 0.0013607523339956439
56 0.420007245293979 0.001360752215667073
57 0.42737579345703125 0.001360752123711851
