L energy_density_tenpy_chi_16 energy_density_tenpy_chi_32 energy_density_tenpy_chi_64 energy_density_tenpy_chi_128 energy_density_tenpy_chi_256 energy_density_tenpy_chi_512 energy_density_tenpy_chi_1024 energy_density_tenpy_extrapolated energy_density_isoTPS_D_2 energy_density_isoTPS_D_3 energy_density_isoTPS_D_4 energy_density_isoTPS_D_5
2 -3.583410268045811 -3.583410268045813 -3.583410268045813 -3.583410268045813 -3.583410268045813 -3.583410268045813 -3.583410268045813 -3.5834102675 -3.5779081157035644 -3.583291261169808 -3.5834102590656 -3.5834102590655994
3 -3.6049763703825994 -3.604977302463904 -3.604977303095684 -3.604977303095806 -3.6049773030957986 -3.6049773030958026 -3.6049773030958026 -3.6049773033333334 -3.5926717893060505 -3.604621963300671 -3.6049717505128083 -3.604975886714313
4 -3.616819600989609 -3.6168853471526954 -3.6168860797123794 -3.6168860843544604 -3.616886084366606 -3.6168860843666084 -3.6168860843666115 -3.6168860859375 -3.605749232204966 -3.6164406595022336 -3.616812383598026 -3.6168617718183116
5 -3.6238956294227735 -3.6243733801198736 -3.6243941504455717 -3.6243946237450304 -3.6243946300529877 -3.6243946300968064 -3.6243946300969316 -3.6243951358 -3.6118126269140545 -3.6237091672816475 -3.6242043772592147 -3.6243217781321517
6 -3.6277594661503962 -3.6293914753175454 -3.6295431487740206 -3.6295515316486178 -3.6295517872128165 -3.6295517923867453 -3.6295517924488485 -3.6295518023611115 -3.616485330082858 -3.6286146539328836 -3.629247119900246 -3.629421246472534
7 -3.629888102228711 -3.632773364724018 -3.633254979167885 -3.6333063769796032 -3.6333095153224173 -3.633309644002316 -3.6333096474439706 -3.633309842244898 -3.6186048125324533 -3.631942332432546 -3.6328365113215773 -3.6330806089595
8 -3.6308799617121936 -3.6349294234218217 -3.6359758119711585 -3.636149154386065 -3.636167306094547 -3.636168531719455 -3.6361685895932587 -3.63616869265625 -3.6214959131521347 -3.63454057579459 -3.635566466537833 -3.635840256961372
9 -3.6306280223515777 -3.6360963503686516 -3.6379296981613307 -3.638346318410394 -3.638409103821528 -3.6384157229329426 -3.6384162168509055 -3.6384166538271607 -3.624434875265428 -3.6363292197565253 -3.637625624820698 -3.6379686474368453
10 -3.6303157501103875 -3.636651314391303 -3.6392965092173926 -3.6400465002757456 -3.6402035135916684 -3.6402268154774293 -3.6402292972408103 -3.6402314083 -3.625786778722233 -3.6377575872494954 -3.6392100493429926 -3.6396527601862148
11 -3.629212611137864 -3.636643250860036 -3.6401368308444457 -3.641330049249526 -3.641651776358042 -3.6417132139753003 -3.641722043866416 -3.6417294429752065 -3.6280649551291506 -3.638908314570651 -3.640518360379176 -3.6410406137253437
12 -3.628192277208009 -3.6363696847427036 -3.640593703284185 -3.6422798493666573 -3.6428183221159296 -3.6429470168034035 -3.6429708589765557 -3.6429784510069445 -3.6289085715711167 -3.6399698388561554 -3.641661740055161 -3.6421956808735234
13 -3.6266399581508506 -3.635722310492643 -3.6406722525679074 -3.6429116332108373 -3.64373793504904 -3.643974096768571 -3.6440276234961964 -3.644047107337278 -3.6305520665862083 -3.640730196309969 -3.642541700311481 -3.643170572721344
14 -3.6254846289314973 -3.635063631317729 -3.640558119725757 -3.64331098596563 -3.644447294683954 -3.6448272054219837 -3.644928110370883 -3.644968607397959 -3.6309811630730353 -3.641465228601726 -3.643316583449806 -3.6440270527962717
15 -3.6240774480988938 -3.6341300986117338 -3.640179466722821 -3.643462145041352 -3.6449574264948352 -3.645522770277757 -3.6456958226177725 -3.645776186511111 -3.6318369281519405 -3.641943575796965 -3.6439638594131214 -3.6446801058840395
16 -3.6228316062013852 -3.6332797181486267 -3.639714653996728 -3.6434748705548943 -3.6453091646171267 -3.6460816612025257 -3.6463488097066366 -3.6465031534375 -3.632759718286727 -3.6425010204436647 -3.6444928054395866 -3.6453277849632144
17 -3.6213552247679703 -3.632236054596542 -3.639096314749491 -3.6433003565511584 -3.645493109367001 -3.6465076458827057 -3.6468964731165308 -3.6471160625086507 -3.633452869266065 -3.642987508157771 -3.6450635545691097 -3.6458883767875667
18 -3.6202409258025354 -3.6313615097881455 -3.638460151478177 -3.6430366152301303 -3.64556965655374 -3.646822868043667 -3.647350855671069 -3.647666290015432 -3.635253420333608 -3.6434204051157213 -3.6454570016906622 -3.6463558885924106
19 -3.6188925663105853 -3.6302139348360387 -3.6376984224764586 -3.6426290574013165 -3.6455067627162387 -3.647022706027032 -3.647713162345722 -3.6481730915789474 -3.6358726127908234 -3.643809224030733 -3.6459605105600397 -3.6468466478009582
20 -3.617798812987995 -3.629327382164051 -3.637008781439261 -3.642181798723554 -3.6453760318271056 -3.6471364617040747 -3.647997389482122 -3.6486601096125004 -3.636396924776818 -3.644049473313129 -3.646290402084205 -3.647207555107915
