L error_tenpy_chi_16 error_tenpy_chi_32 error_tenpy_chi_64 error_tenpy_chi_128 error_tenpy_chi_256 error_tenpy_chi_512 error_tenpy_chi_1024 error_isoTPS_D_2 error_isoTPS_D_3 error_isoTPS_D_4
2 1.5231606521334174e-10 1.5231656093018877e-10 1.5231656093018877e-10 1.5231656093018877e-10 1.5231656093018877e-10 1.5231656093018877e-10 1.5231656093018877e-10 0.0015354512561226736 3.3210355864486136e-05 2.353735592544264e-09
3 2.587951756265768e-07 2.411747681671355e-10 6.592266258276803e-11 6.588871750111015e-11 6.58909075063784e-11 6.588981250374427e-11 6.588981250374427e-11 0.003413478918689738 9.856928428752943e-05 1.5403205229706127e-06
4 1.8381819695435523e-05 2.0425990393122598e-07 1.7211270333751507e-09 4.3768021432493496e-10 4.34322121313208e-10 4.343215074022369e-10 4.343206479268774e-10 0.0030791275887383537 0.0001231519115291085 2.037729077513275e-05
5 0.00013781785884562465 6.002568514437733e-06 2.718672747444065e-07 1.4128011720699347e-07 1.3953970062556852e-07 1.3952761063961077e-07 1.395275761357786e-07 0.00347161620477348 0.00018926427518259898 5.2631827832655885e-05
6 0.0004938175037339403 4.4172683652434526e-05 2.3842026680321804e-06 7.458565369650789e-08 4.173599355412986e-09 2.748098544286591e-09 2.730988163316442e-09 0.0036000236364592555 0.00025819949108259405 8.39449269375782e-05
7 0.0009417693961581918 0.00014765531820116012 1.510002708129714e-05 9.537489080248043e-07 8.997924615962878e-08 5.456253119449033e-08 5.361528074007064e-08 0.004047282051606924 0.000376381280905834 0.00013027540833903328
8 0.0014544789835350335 0.00034081731052010777 5.30450321189062e-05 5.37331236165265e-06 3.8132491103395374e-07 4.4259991382348635e-08 2.834384215523204e-08 0.004035230690410272 0.00044775614094810795 0.00016562106143022808
9 0.0021406650795176003 0.0006377234053357666 0.00013383724629721687 1.933132553489495e-05 2.0750800007597603e-06 2.5585146139618506e-07 1.2010066379872326e-07 0.003842819526187447 0.0005737204584416903 0.00021741023135178454
10 0.0027239087512414854 0.0009834797591532854 0.00025682408005039926 5.0795678492544345e-05 7.662894251106572e-06 1.2616842325111123e-06 5.799244478103516e-07 0.003968052565238599 0.0006795779644294394 0.0002805752828455764
11 0.003437057044829923 0.0013966419512524465 0.0004373230234971691 0.00010967144372867434 2.1326849888478203e-05 4.456399125779377e-06 2.031756863418406e-06 0.0037521974270808243 0.0007746672147754452 0.00033255699386633983
12 0.004058814510650922 0.0018141107209717472 0.000654614830922228 0.0001917666134132057 4.395548674480906e-05 8.628709711988244e-06 2.084017375055883e-06 0.0038621912330935324 0.0008258660300219927 0.0003614380292090457
13 0.004776872711491205 0.00228449210436205 0.0009261281948237164 0.00031159699449403484 8.48431096336625e-05 2.003557214180171e-05 5.3467588392617676e-06 0.0037033112782482343 0.0009102272637009628 0.000413114040915242
14 0.005345444793932169 0.0027174379664413537 0.0012100207566260641 0.0004547697417653295 0.00014302255249790713 3.879374315829656e-05 1.1110391182539149e-05 0.003837466335521884 0.0009611547241098627 0.00045323406758575975
15 0.00595174725549524 0.0031944056090075527 0.0015351243471821235 0.0006347184663504172 0.00022457769604868386 6.950954210839381e-05 2.204301340156495e-05 0.0038233993657492784 0.0010512468451371164 0.0004971032244642946
16 0.006491574596281392 0.003626333156028634 0.001861646392482255 0.0008304621592747291 0.00032743391960262134 0.00011558806265586446 4.2326504151803686e-05 0.003768935490379959 0.0010975262670656386 0.0005513084490324159
17 0.0070633446534632376 0.004079938136620007 0.0021989285840395066 0.0010462255360383583 0.00044499629675439945 0.0001668212953789017 6.0209049659105426e-05 0.003746300640947373 0.00113200520085443 0.0005627756025206719
18 0.007518605604895046 0.004469921020987254 0.002523843412555231 0.0012692155524134637 0.0005747876299515668 0.00023122235004725036 8.647565848521639e-05 0.003402961974838878 0.0011640003668462865 0.0006056717224427666
19 0.008026078953312261 0.004922780880206414 0.0028712094628040633 0.0015196741049453544 0.0007308668738507115 0.00031533195466262 0.0001260711105749617 0.003371681792324193 0.001196178865056403 0.000606490142700489
20 0.008458254728413878 0.005298582731100875 0.0031933169501164173 0.001775531481235822 0.0009000777509373534 0.00041759107799917914 0.00018163383556408748 0.003361010471590476 0.0012636519053184979 0.0006494733565486145
