N_iters f_Renyi_evenbly_vidal
0 0.02679413120937102
1 0.026640929790790087
2 0.026542390650727516
3 0.026475722216343475
4 0.02643305695935195
5 0.026406312977413707
6 0.026385661771770777
7 0.026359462592992735
8 0.02634572165885673
9 0.026340280637035897
10 0.02633726222206253
11 0.02633548612118653
12 0.026334434427932946
13 0.026333810245467923
14 0.02633343883256342
15 0.026333217148865835
16 0.026333084390415738
17 0.02633300461480847
18 0.02633295651836404
19 0.026332927431399457
20 0.026332909791031867
21 0.02633289906565528
22 0.02633289253002416
23 0.026332888539653276
24 0.02633288609912209
25 0.026332884604246275
26 0.02633288368739483
27 0.026332883124423848
28 0.02633288277838553
29 0.02633288256550981
30 0.02633288243443758
31 0.0263328823536783
32 0.02633288230388079
33 0.026332882273166026
34 0.02633288225419533
35 0.026332882242477932
36 0.026332882235232384
37 0.026332882230752787
38 0.026332882227982045
39 0.02633288222626726
40 0.026332882225198653
