N_iters f_trunc_cg f_trunc_approx_cg f_trunc_trm f_trunc_approx_trm
0 1.8520595138634006e-06 1.8520595138634006e-06 1.8520595138634006e-06 1.8520595138634006e-06
5 1.8096436790103376e-06 1.8068818555056238e-06 1.8319891072348867e-06 1.6586294460701347e-06
10 1.78017665490784e-06 1.735097145339889e-06 1.8036571073522612e-06 1.5584131022832051e-06
15 1.7732805361975998e-06 1.6619235532152284e-06 1.7018907242093884e-06 1.4637525266916403e-06
20 1.7664196849138414e-06 1.62482678545793e-06 1.6193944203509262e-06 1.4036117828421843e-06
25 1.7608605832701178e-06 1.578661447905601e-06 1.539023303247544e-06 1.3342668876062943e-06
30 1.7533208548720059e-06 1.5599835559182765e-06 1.4738353366177725e-06 1.292863635460921e-06
35 1.7485371938088345e-06 1.5533778216134835e-06 1.4460719519936836e-06 1.2852783566017196e-06
40 1.7419947529360724e-06 1.546644127250947e-06 1.421167154928985e-06 1.278277418378295e-06
45 1.736295840229868e-06 1.5358858673492576e-06 1.3806046322610323e-06 1.2705990956723853e-06
50 1.7290461254461674e-06 1.5285718625198799e-06 1.3602963413768533e-06 1.2634942493323106e-06
55 1.723119555800336e-06 1.5214894327146865e-06 1.3370680089582014e-06 1.2549495593960721e-06
60 1.7121956269270326e-06 1.5145758208668425e-06 1.324301114903129e-06 1.2447892465821756e-06
65 1.703688934625846e-06 1.511516183076937e-06 1.3170348991543702e-06 1.2435287834856903e-06
70 1.690312207089463e-06 1.485292259714459e-06 1.3103093639456477e-06 1.2432994584231221e-06
75 1.681549411584137e-06 1.4806885182200712e-06 1.3029733300568131e-06 1.2413270818425233e-06
80 1.6767712763381588e-06 1.4806885182200712e-06 1.2894389633932356e-06 1.239685971305189e-06
85 1.6718435615068969e-06 1.4806885182200712e-06 1.2856398726312045e-06 1.2387898004776984e-06
90 1.6676245200784597e-06 1.4806885182200712e-06 1.2827537742605828e-06 1.2382723670348907e-06
95 1.6632653991065743e-06 1.4806885182200712e-06 1.2767186872463757e-06 1.2373227035900708e-06
100 1.6585548088330165e-06 1.4806885182200712e-06 1.2657277575109654e-06 1.2364436106901971e-06
105 1.6546035540276889e-06 1.4806885182200712e-06 1.2537043558729634e-06 1.2350218190020232e-06
110 1.6504928589559172e-06 1.4806885182200712e-06 1.2513308957545742e-06 1.2319194674883486e-06
115 1.6468464382613363e-06 1.4806885182200712e-06 1.2419225270078808e-06 1.2285982203708095e-06
120 1.6430997119652935e-06 1.4806885182200712e-06 1.2295678066845332e-06 1.227898400955802e-06
125 1.6397800008299856e-06 1.4806885182200712e-06 1.2166269871729403e-06 1.226043495253738e-06
130 1.6363560458794337e-06 1.4806885182200712e-06 1.2142442914043066e-06 1.2252688288446997e-06
135 1.6334401347512716e-06 1.4806885182200712e-06 1.2134090457601574e-06 1.2246560482283528e-06
140 1.621985790513865e-06 1.4806885182200712e-06 1.2121259639164546e-06 1.2233322726667091e-06
145 1.6189410950539843e-06 1.4806885182200712e-06 1.207747857448732e-06 1.2226665741544828e-06
150 1.6096578326283449e-06 1.4806885182200712e-06 1.2028384225220897e-06 1.2216067589554572e-06
155 1.6071279644703308e-06 1.4806885182200712e-06 1.2003516645607176e-06 1.218557970576083e-06
